
2024/11/14 (13:07:28) | ===> btop++ v.1.3.2
2024/11/14 (13:07:28) | ERROR: Stall in Runner thread, restarting!
2024/11/14 (13:07:39) | ERROR: Stall in Runner thread, restarting!
2024/12/21 (12:58:36) | ERROR: Exception in runner thread -> Proc:: -> basic_string

2024/12/21 (16:53:10) | ===> btop++ v.1.3.2
2024/12/21 (16:53:10) | ERROR: Stall in Runner thread, restarting!
2024/12/21 (16:54:48) | ERROR: Stall in Runner thread, restarting!
2024/12/21 (16:55:49) | ERROR: Stall in Runner thread, restarting!
2024/12/21 (16:56:34) | ERROR: Stall in Runner thread, restarting!
2024/12/21 (17:49:08) | ERROR: Stall in Runner thread, restarting!
2024/12/21 (17:52:54) | ERROR: Stall in Runner thread, restarting!
